"p1" "p3" "p4" "p6" "p13" "p16" "p19" "p21" "p23" "p25" "s18" "s19" "s20" "s22" "s23" "s25" "s27" "s29" "sA" "sB" "sC" "sD" "sE" "sF" "sG" "w22" "w23" "w25" "w27" "w29" "wA" "wB" "wC" "wD"
"52" 0 0 0 0 0 0 0 0 0 0 0 23.75 0 0 0 0 0 0 0 7.8165 0 0 0 48.2998 0 4.6911 3.089 0.8228 1.4509 0.5259 0.0509 0.9642 0.677 0.434
"53" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7.9838 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"54" 0 0 0 0 4.7348 0 0 0 9.7272 34.272 0 0 0 0 54.109 320.3992 31.9352 14.469 0 0 0 0 88.9704 97.3914 0 0 0 2.0652 0 0 0 0 0 0
"55" 0 0 0 0 0 0 3.0134 0 0 0 10.9002 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.8228 0.9673 0.3506 0.2528 0.9642 0 0.434
"56" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4.1974 0 0 0 0 0 0 0 0 0 0 0 0
"57" 0 2.1907 0 5.13 0 4.6706 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.2097 0.1612 0 0 0 0 0.1447
"58" 0 0 0 0 2.3674 0 12.0536 0 14.5908 0 0 0 0 0 0 0 0 0 0 0 0 0 0 48.2998 0 0 0 0 0 0 0 0 0.0978 0.1447
"59" 0 0 0 0 0 0 0 0 0 3.072 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"60" 4.476 8.7628 16.3305 5.13 19.0638 88.7414 57.3705 0 77.4123 6.24 109.002 77.14 43.5812 29.1096 161.8351 113.3428 7.9838 0 0 39.0825 38.7 4.1974 0 0 0 107.1435 43.1152 29.0896 10.3082 2.9677 1.4927 3.8567 0.8211 9.5954
"61" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9.675 0 0 0 0 0 0 0 0 0 0 0 0 0.2894
"62" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.1612 0 0 0 0 0
"63" 0 0 0 0 0 23.353 9.0402 0 9.7272 3.072 0 0 10.8576 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.2097 0.1612 0 0 0 0.1441 0
"64" 0 0 0 0 0 0 0 0 4.8636 0 0 5.89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"65" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9.675 0 0 0 0 0 0 0 0 0 0 0 0 0
"66" 0 0 0 0 0 0 0 0 0 0 0 11.97 5.4288 0 0 0 0 0 0 0 0 4.1974 17.5744 0 0 0 0 0 0 0 0 0 0 0
"67" 0 0 0 0 0 0 0 0 0 3.072 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.1392 0.0489 0
"68" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 18.996 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.1441 0
"69" 0 0 0 0 0 4.6706 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.1392 0 0
"70" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.025 0 0 0
"71" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9.675 8.3948 0 0 0 0 0 0 0 0 0 0 0 0
"72" 0 0 0 0 9.5942 32.6942 30.134 0 9.7272 24.96 54.501 65.36 16.2864 39.2171 107.7261 188.6936 198.9647 392.1099 48.5928 78.165 163.701 100.6022 196.0644 631.8564 64.262 0 2.0419 2.6782 0.6448 0.5259 0.0509 0.4125 1.7374 0.8727
"73" 0 0 0 0 0 0 0 0 0 3.072 0 0 5.4288 0 54.109 56.3548 39.7089 0 0 0 29.025 12.5922 160.3664 121.1454 0 0 0 0 0 0 0.0509 0 0.2909 0.1447
"74" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 88.9704 0 0 0 0 0 0 0 0 0 0 0
"75" 0 0 0 0 0 0 9.0402 0 0 0 0 0 0 0 0 0 15.9676 0 0 7.8165 0 0 17.5744 0 0 0 0 0 0 0 0 0 0 0
"76" 0 0 0 0 0 4.6706 12.0536 0 38.7737 0 10.9002 0 0 0 0 0 7.9838 0 8.0988 23.4495 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"77" 0 0 0 0 0 0 0 0 9.7272 0 0 0 0 0 0 0 0 0 0 15.633 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"78" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4.1288 0 0 4.1974 0 0 0 0 0 0 0 0 0.025 0.1392 0 0
"79" 0 0 0 0 0 0 0 0 14.5908 0 0 5.89 0 0 0 0 0 0 8.0988 54.7155 29.025 16.7896 285.0348 0 0 0 0 0 0 0 0 0 0 0
"80" 0 0 0 0 0 14.0118 3.0134 0 4.8636 15.552 0 0 0 0 0 0 7.9838 0 0 15.633 0 0 124.6684 0 0 0 0 0 0 0 0 0 0 0
"81" 0 0 0 0 0 0 3.0134 0 14.5908 0 0 0 0 0 0 0 7.9838 0 36.524 15.633 0 4.1974 107.094 24.5458 3.556 0 0 0 0 0 0 0 0.0489 0
"82" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.242 0
"83" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 14.469 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"84" 0 2.1907 0 0 42.987 144.5763 69.4241 113.1732 96.8667 71.712 21.8004 0 5.4288 0 0 0 0 0 36.524 70.3485 19.35 16.7896 88.9704 24.5458 0 33.8404 19.5026 6.5988 8.3737 6.286 1.3918 2.8925 2.0772 3.6356
"85" 328.0908 637.609 1024.8678 553.698 529.9238 1493.1059 473.9151 487.4232 334.1023 398.976 818.3988 403.75 272.194 400.257 471.7321 980.1936 167.0295 203.5306 214.6976 297.3165 471.753 201.2044 945.1732 315.9282 49.911 75.201 30.7853 27.8554 7.2452 13.4486 0.9112 2.0675 1.7864 3.9249
"86" 0 0 0 0 0 0 0 0 0 0 21.8004 83.22 0 351.741 0 150.7016 55.6765 57.876 68.9192 0 115.713 0 88.9704 607.3106 7.112 0 0 0 0 0.1753 0 0 0.0489 0
"87" 0 0 0 0 0 0 0 0 0 0 0 0 0 9.7032 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"88" 0 0 0 0 4.7348 23.353 30.134 0 29.0465 24.96 152.8974 201.97 217.7552 439.4741 364.006 546.4516 541.2176 1815.8595 158.006 62.532 568.116 234.7836 160.3664 97.3914 734.949 0 0 0 0 0 0 0 0.0489 0.2894
