AREA,id,SL,ML,HH1,HH2,HL1,HD1,HD2,HL2,BD2,BD5,BD6,BL1,BL4,PFL1,PFL2,AFL,PH,DFL,CL1,CL2
3,c101,-0.3285,0.0886,-0.9197,-0.5594,-0.3685,-0.1133,-0.3959,-0.4986,0.4089,0.7340,0.8113,0.2920,0.6675,0.1211,-0.3904,0.7248,0.1529,-0.2271,0.0717,0.1188
3,c102,-0.3638,0.0619,-0.8734,-0.5160,-0.3689,-0.1060,-0.3466,-0.4807,0.4217,0.7008,0.8395,0.2812,0.6046,0.0514,-0.4991,0.7935,0.1636,-0.1981,0.1074,0.1353
3,c103,-0.3863,0.0530,-0.8526,-0.5908,-0.3938,-0.1065,-0.3816,-0.4706,0.4224,0.7483,0.8228,0.3088,0.6817,0.0848,-0.4177,0.7469,0.1267,-0.1759,0.0593,0.1070
3,c104,-0.4189,0.0216,-0.8669,-0.5502,-0.4404,-0.1075,-0.3797,-0.4508,0.4230,0.7664,0.7734,0.3628,0.6292,0.0568,-0.4790,0.7749,0.1757,-0.2066,0.1016,0.2006
3,c105,-0.5139,-0.0225,-0.9422,-0.5383,-0.4833,-0.0904,-0.4513,-0.4400,0.4331,0.7297,0.8227,0.3341,0.6321,0.0731,-0.3764,0.6823,0.2234,-0.0783,0.1347,0.2427
3,c106,-0.5524,-0.0946,-0.8545,-0.5064,-0.4574,-0.1345,-0.3719,-0.5259,0.4271,0.7773,0.7636,0.3206,0.6582,0.1255,-0.4147,0.7703,0.1274,-0.0999,0.1568,0.2523
3,c107,-0.3700,0.1009,-0.8665,-0.5400,-0.4107,-0.0952,-0.4093,-0.5042,0.4168,0.7296,0.7670,0.3160,0.6413,0.0982,-0.4111,0.6675,0.1544,-0.1778,0.0899,0.1684
3,c108,-0.4040,0.0298,-1.0014,-0.5461,-0.3493,-0.0898,-0.4058,-0.4389,0.4215,0.7277,0.7493,0.3448,0.6192,0.0498,-0.3995,0.6783,0.1703,-0.1468,0.1117,0.2393
3,c109,-0.3453,0.0445,-1.0212,-0.5595,-0.3453,-0.1246,-0.3937,-0.4654,0.3989,0.7110,0.7909,0.2897,0.6144,0.0634,-0.4342,0.7470,0.1615,-0.0927,0.1264,0.2334
3,c110,-0.4950,0.0369,-0.7923,-0.5231,-0.4820,-0.0969,-0.4065,-0.5278,0.4151,0.7553,0.8102,0.3133,0.6364,0.0834,-0.4323,0.6645,0.2681,-0.2168,0.1679,0.2149
3,c111,-0.4842,-0.0593,-0.9457,-0.5151,-0.3916,-0.1654,-0.3739,-0.5600,0.4260,0.7815,0.7871,0.4256,0.6678,0.0488,-0.4249,0.7917,0.1365,-0.0952,0.1253,0.1895
3,c112,-0.4354,0.0500,-0.9664,-0.5493,-0.4644,-0.1086,-0.4756,-0.4948,0.4233,0.7667,0.8052,0.3718,0.6920,0.0897,-0.3930,0.7332,0.1870,-0.1596,0.0940,0.2189
3,c113,-0.5079,-0.0052,-0.8048,-0.5217,-0.5085,-0.1268,-0.4012,-0.5506,0.4229,0.7783,0.8355,0.3615,0.6656,0.0629,-0.4664,0.7560,0.2033,-0.1576,0.1556,0.2047
3,c114,-0.4280,0.0051,-0.7998,-0.5009,-0.3671,-0.1081,-0.3319,-0.5388,0.3428,0.7425,0.7610,0.2642,0.6102,0.1093,-0.4271,0.6901,0.2044,-0.1787,0.1189,0.2233
3,c115,-0.5420,-0.0684,-0.9477,-0.5386,-0.4069,-0.1054,-0.3888,-0.4376,0.4322,0.7580,0.7914,0.3874,0.6501,0.0284,-0.3806,0.7645,0.1575,-0.2128,0.2021,0.2308
3,c116,-0.3779,0.0532,-0.9321,-0.5304,-0.3856,-0.1074,-0.3979,-0.4887,0.3812,0.7597,0.8226,0.3201,0.6543,0.0468,-0.4266,0.7680,0.1756,-0.2253,0.1025,0.1987
3,c117,-0.5023,-0.0430,-0.9244,-0.5123,-0.4384,-0.0776,-0.4157,-0.4348,0.4500,0.6955,0.8276,0.3839,0.6367,0.0626,-0.4107,0.7313,0.1455,-0.2238,0.1935,0.2189
3,c118,-0.5075,-0.0563,-0.9119,-0.5298,-0.4784,-0.1376,-0.4286,-0.5348,0.4390,0.8012,0.7986,0.4134,0.6953,0.0851,-0.3799,0.7508,0.1720,-0.2224,0.1625,0.2417
3,c119,-0.5105,-0.0192,-0.7410,-0.5333,-0.4551,-0.1513,-0.3213,-0.5548,0.4093,0.7514,0.8371,0.3793,0.6512,0.0463,-0.4406,0.7922,0.1661,-0.1445,0.0872,0.1372
3,c120,-0.5266,-0.0229,-0.8887,-0.5121,-0.4644,-0.0947,-0.4279,-0.4929,0.4081,0.7813,0.7910,0.3984,0.6671,0.0565,-0.3712,0.7590,0.1722,-0.1848,0.1211,0.2033
3,c121,-0.5189,-0.0464,-0.8933,-0.5006,-0.5020,-0.1224,-0.4132,-0.5030,0.4494,0.7570,0.8653,0.4119,0.6661,0.0427,-0.4481,0.7863,0.2028,-0.1845,0.1366,0.1993
3,c122,-0.5884,-0.0687,-0.9016,-0.5254,-0.5404,-0.1350,-0.4608,-0.5432,0.4723,0.8030,0.8567,0.4113,0.7036,0.0414,-0.3676,0.8280,0.1722,-0.0926,0.1319,0.1862
3,c123,-0.5310,-0.0970,-0.7684,-0.5325,-0.4542,-0.1633,-0.3130,-0.5309,0.4473,0.7545,0.8450,0.3925,0.6894,0.0795,-0.4033,0.8066,0.1119,-0.1606,0.0709,0.1179
3,c124,-0.5300,0.0467,-0.8493,-0.5760,-0.5042,-0.1053,-0.4884,-0.5441,0.4793,0.7542,0.8526,0.4296,0.6742,0.0699,-0.3585,0.8098,0.1813,-0.1808,0.0806,0.1469
3,c125,-0.5235,-0.0008,-0.8960,-0.5650,-0.5549,-0.1041,-0.5061,-0.5021,0.4408,0.8273,0.8302,0.3843,0.7447,0.0592,-0.3945,0.8119,0.1986,-0.2176,0.1436,0.2368
3,c126,-0.5130,0.0217,-0.8196,-0.5367,-0.4327,-0.1153,-0.4061,-0.5656,0.4573,0.7605,0.7708,0.3420,0.6583,0.0343,-0.3797,0.6569,0.2292,-0.1170,0.0902,0.2272
3,c127,-0.5133,-0.0099,-0.8717,-0.5123,-0.4303,-0.1252,-0.3832,-0.5287,0.4550,0.8131,0.7647,0.4465,0.6981,0.0771,-0.4425,0.7516,0.1539,-0.1817,0.0270,0.1544
3,c128,-0.5486,-0.0090,-0.8144,-0.4864,-0.4749,-0.1197,-0.3897,-0.5709,0.4553,0.7815,0.7952,0.3627,0.6969,0.0385,-0.3234,0.6915,0.1593,-0.2254,0.0881,0.2472
3,c129,-0.4511,0.0379,-0.8627,-0.5609,-0.4237,-0.1240,-0.4091,-0.5368,0.4113,0.7024,0.7938,0.3360,0.5571,0.0680,-0.4121,0.6975,0.2449,-0.1123,0.1552,0.2848
3,c130,-0.3318,0.0957,-0.9023,-0.5642,-0.3771,-0.1696,-0.3755,-0.5782,0.3749,0.7251,0.8179,0.3354,0.6074,0.0660,-0.4143,0.8105,0.1767,-0.1519,0.0924,0.1869
3,c131,-0.5630,-0.0091,-0.8790,-0.5249,-0.5510,-0.0909,-0.4644,-0.4687,0.4602,0.7240,0.8563,0.3755,0.6035,0.0840,-0.4253,0.7877,0.2258,-0.0681,0.1292,0.1837
3,c132,-0.3900,0.0749,-0.8509,-0.5640,-0.3493,-0.1063,-0.3551,-0.4904,0.4024,0.7170,0.7668,0.3695,0.5934,0.0642,-0.4498,0.7216,0.1606,-0.1882,0.0555,0.1917
3,c133,-0.3998,0.0840,-0.8975,-0.5209,-0.3733,-0.0956,-0.3918,-0.5006,0.4652,0.7532,0.7885,0.3558,0.6643,0.0338,-0.4376,0.7098,0.1623,-0.2233,0.0436,0.1425
3,c134,-0.4028,0.0273,-0.8285,-0.5303,-0.4577,-0.0984,-0.3778,-0.4644,0.4180,0.7446,0.7523,0.3333,0.6220,0.0731,-0.4197,0.6936,0.1632,-0.1337,0.0705,0.1690
